,Unnamed: 0,Invoice ID,Name,Order Date,State,City,Categories,Subcategories,Ratings,Quantity,MRP,Final Price,GST%%,City_Tier,Discount%,Delivery Fee%,Brand,Sale,Covid
1502,1502, OD117465957543925000,G6M2R9,31-12-2019 00:00,Uttar Pradesh,Farrukhabad,Home & Kitchen,Home Appliances,4.1,1,2339,2458,18%,Tier 3,0,6,Bajaj,No,No
1503,1503,OD220180083875049000,G6M2R9,11-09-2020 00:00,Uttar Pradesh,Farrukhabad,Beauty and Grooming,Hair Care and Accessory,4.2,1,226,226,18%,Tier 3,18,18,TRESemme,No,1st Wave
1504,1504,OD220901769479033000,G6M2R9,02-01-2021 00:00,Uttar Pradesh,Farrukhabad,Books,Books,4.8,1,143,143,0%,Tier 3,0,0,Book:,Yes,No
1505,1505,OD221444908920044000,G6M2R9,04-05-2021 00:00,Uttar Pradesh,Baghpat,Automotive Accessories,Helmets and Riding Gear,3.9,1,321,321,5%,Tier 3,0,0,Probiker,Yes,2nd Wave
1506,1506,OD221449230006183000,G6M2R9,04-05-2021 00:00,Uttar Pradesh,Baghpat,Mobiles & Accessories,Mobile Accessories,4.1,1,144,129,18%,Tier 3,11,0,Flipkart,Yes,2nd Wave
1507,1507,OD221695892258382000,G6M2R10,05-04-2021 00:00,Uttar Pradesh,Noida,Mobiles & Accessories,Mobile Accessories,4.1,1,149,149,18%,Tier_2,27,27,Ambrane,No,2nd Wave
1508,1508,OD221741333857303000,G6M2R10,05-09-2021 00:00,Uttar Pradesh,Noida,Industrial & Scientific Supplies,Building Materials and Supplies,4.3,1,369,350,18%,Tier_2,16,11,Flipkart,No,No
1509,1509,OD221826036440755000,G6M2R10,19-05-2021 00:00,Uttar Pradesh,Noida,Computers,Laptop Accessories,4.4,1,449,449,18%,Tier_2,0,0,HP,No,2nd Wave
1510,1510,OD222400076167846000,G6M2R10,24-07-2021 00:00,Uttar Pradesh,Noida,Home Improvement,Lawn and Gardening,4.1,1,149,137,18%,Tier_2,35,27,Pigeon,No,No
1511,1511,OD222645593229463000,G6M2R10,22-08-2021 00:00,Karnataka,Bengaluru,Kids Accessories,School Supplies,4,1,425,425,18%,Tier_1,0,0,Browner,No,No
1512,1512,OD117966076693837000,G6M2R11,27-02-2020 00:00,Delhi,New Delhi,Clothing and Accessories,Clothing Accessories,4.3,1,349,349,5%,Tier_1,0,0,Allen,No,No
1513,1513,OD118533748220039000,G6M2R11,05-03-2020 00:00,Uttar Pradesh,Farrukhabad,Food Products,Artificial Sweetener,4.5,1,142,182,18%,Tier 3,0,29,Sugar,No,No
